,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
0,xgboost,abalone_size_4177,20,4177,0,0.1,400,3,0,0,0,0,0,0,0,0,0,0,0,0,2.12543,0.0471992,0,0,0,0,0,0,2.20389,0.109486,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
1,xgboost,abalone_size_4177,20,4177,0,0.2,300,2,0,0,0,0,0,0,0,0,0,0,0,0,2.13887,0.0443546,0,0,0,0,0,0,2.2109,0.112316,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
2,xgboost,abalone_size_4177,20,4177,0,0.3,50,5,0,0,0,0,0,0,0,0,0,0,0,0,2.12703,0.0307405,0,0,0,0,0,0,2.2044,0.114898,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
3,xgboost,abalone_size_4177,20,4177,0,0.3,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2.12432,0.0452912,0,0,0,0,0,0,2.20825,0.116082,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
4,xgboost,abalone_size_4177,20,4177,0,0.2,150,5,0,0,0,0,0,0,0,0,0,0,0,0,2.11141,0.0484357,0,0,0,0,0,0,2.19441,0.109573,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
5,xgboost,abalone_size_4177,20,4177,0,0.3,500,2,0,0,0,0,0,0,0,0,0,0,0,0,2.12955,0.0490856,0,0,0,0,0,0,2.20644,0.108847,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
6,xgboost,abalone_size_4177,20,4177,0,0.3,150,5,0,0,0,0,0,0,0,0,0,0,0,0,2.07429,0.0668234,0,0,0,0,0,0,2.19337,0.113087,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
7,xgboost,abalone_size_4177,20,4177,0,0.1,200,3,0,0,0,0,0,0,0,0,0,0,0,0,2.12877,0.0383514,0,0,0,0,0,0,2.20302,0.113559,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
9,xgboost,abalone_size_4177,20,4177,0,0.1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
10,xgboost,abalone_size_4177,20,4177,0,0.3,50,6,0,0,0,0,0,0,0,0,0,0,0,0,2.10261,0.0350265,0,0,0,0,0,0,2.19429,0.117242,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
11,xgboost,abalone_size_4177,20,4177,0,0.2,50,2,0,0,0,0,0,0,0,0,0,0,0,0,2.43726,0.0319493,0,0,0,0,0,0,2.45508,0.107304,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
14,xgboost,abalone_size_4177,20,4177,0,0.2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
16,xgboost,abalone_size_4177,20,4177,0,0.3,300,5,0,0,0,0,0,0,0,0,0,0,0,0,1.95598,0.0724914,0,0,0,0,0,0,2.1701,0.109685,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
20,xgboost,abalone_size_4177,20,4177,0,0.3,500,3,0,0,0,0,0,0,0,0,0,0,0,0,2.09773,0.0520644,0,0,0,0,0,0,2.19385,0.12753,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
24,xgboost,abalone_size_4177,20,4177,0,0.2,150,6,0,0,0,0,0,0,0,0,0,0,0,0,2.06986,0.0540956,0,0,0,0,0,0,2.17899,0.114199,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
26,xgboost,abalone_size_4177,20,4177,0,0.2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2.14593,0.0365268,0,0,0,0,0,0,2.21257,0.119356,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
27,xgboost,abalone_size_4177,20,4177,0,0.2,25,5,0,0,0,0,0,0,0,0,0,0,0,0,3.02912,0.0312094,0,0,0,0,0,0,3.0279,0.132153,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
30,xgboost,abalone_size_4177,20,4177,0,0.1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9.49752,0.0244303,0,0,0,0,0,0,9.49709,0.0972284,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
31,xgboost,abalone_size_4177,20,4177,0,0.2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,2.13503,0.0430702,0,0,0,0,0,0,2.21036,0.110904,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
36,xgboost,abalone_size_4177,20,4177,0,0.2,100,6,0,0,0,0,0,0,0,0,0,0,0,0,2.0933,0.0492729,0,0,0,0,0,0,2.1914,0.109309,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
37,xgboost,abalone_size_4177,20,4177,0,0.2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,6.75283,0.0271003,0,0,0,0,0,0,6.75206,0.107492,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
38,xgboost,abalone_size_4177,20,4177,0,0.2,300,6,0,0,0,0,0,0,0,0,0,0,0,0,1.98645,0.050155,0,0,0,0,0,0,2.16585,0.12023,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
39,xgboost,abalone_size_4177,20,4177,0,0.2,100,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0982,0.0484411,0,0,0,0,0,0,2.19385,0.105963,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
41,xgboost,abalone_size_4177,20,4177,0,0.1,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2.17934,0.0310588,0,0,0,0,0,0,2.24024,0.117507,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
43,xgboost,abalone_size_4177,20,4177,0,0.2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
44,xgboost,abalone_size_4177,20,4177,0,0.3,50,6,0,0,0,0,0,0,0,0,0,0,0,0,2.08124,0.0319133,0,0,0,0,0,0,2.18645,0.11406,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
45,xgboost,abalone_size_4177,20,4177,0,0.2,600,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0998,0.0469603,0,0,0,0,0,0,2.18932,0.108878,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
47,xgboost,abalone_size_4177,20,4177,0,0.2,400,3,0,0,0,0,0,0,0,0,0,0,0,0,2.00757,0.0397819,0,0,0,0,0,0,2.16641,0.123912,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
48,xgboost,abalone_size_4177,20,4177,0,0.1,400,2,0,0,0,0,0,0,0,0,0,0,0,0,2.06977,0.0290543,0,0,0,0,0,0,2.1777,0.12126,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
49,xgboost,abalone_size_4177,20,4177,0,0.2,600,2,0,0,0,0,0,0,0,0,0,0,0,0,2.03908,0.0346025,0,0,0,0,0,0,2.16864,0.123978,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
51,xgboost,abalone_size_4177,20,4177,0,0.1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,9.49752,0.0244303,0,0,0,0,0,0,9.49709,0.0972284,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
53,xgboost,abalone_size_4177,20,4177,0,0.1,300,6,0,0,0,0,0,0,0,0,0,0,0,0,2.01282,0.0362738,0,0,0,0,0,0,2.16596,0.112839,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
63,xgboost,abalone_size_4177,20,4177,0,0.3,50,5,0,0,0,0,0,0,0,0,0,0,0,0,2.10283,0.0301427,0,0,0,0,0,0,2.19063,0.118646,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
64,xgboost,abalone_size_4177,20,4177,0,0.1,500,5,0,0,0,0,0,0,0,0,0,0,0,0,1.99078,0.0551754,0,0,0,0,0,0,2.1666,0.118675,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
65,xgboost,abalone_size_4177,20,4177,0,0.3,50,2,0,0,0,0,0,0,0,0,0,0,0,0,2.2584,0.0328933,0,0,0,0,0,0,2.3016,0.113126,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
71,xgboost,abalone_size_4177,20,4177,0,0.2,400,5,0,0,0,0,0,0,0,0,0,0,0,0,1.97096,0.0579796,0,0,0,0,0,0,2.16974,0.118139,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
72,xgboost,abalone_size_4177,20,4177,0,0.1,100,6,0,0,0,0,0,0,0,0,0,0,0,0,2.28988,0.0386368,0,0,0,0,0,0,2.32631,0.105323,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
74,xgboost,abalone_size_4177,20,4177,0,0.1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,9.49752,0.0244303,0,0,0,0,0,0,9.49709,0.0972284,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
76,xgboost,abalone_size_4177,20,4177,0,0.1,600,3,0,0,0,0,0,0,0,0,0,0,0,0,2.02939,0.0451338,0,0,0,0,0,0,2.16716,0.122598,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
79,xgboost,abalone_size_4177,20,4177,0,0.1,50,3,0,0,0,0,0,0,0,0,0,0,0,0,3.05001,0.026799,0,0,0,0,0,0,3.04819,0.132665,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
81,xgboost,abalone_size_4177,20,4177,0,0.3,25,2,0,0,0,0,0,0,0,0,0,0,0,0,2.62223,0.0338403,0,0,0,0,0,0,2.62102,0.11288,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
82,xgboost,abalone_size_4177,20,4177,0,0.1,150,3,0,0,0,0,0,0,0,0,0,0,0,0,2.18904,0.0310235,0,0,0,0,0,0,2.2453,0.118039,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
83,xgboost,abalone_size_4177,20,4177,0,0.1,50,5,0,0,0,0,0,0,0,0,0,0,0,0,3.03783,0.0264014,0,0,0,0,0,0,3.03576,0.136647,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
87,xgboost,abalone_size_4177,20,4177,0,0.3,200,6,0,0,0,0,0,0,0,0,0,0,0,0,1.97763,0.0479086,0,0,0,0,0,0,2.16622,0.116309,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
90,xgboost,abalone_size_4177,20,4177,0,0.3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7.64644,0.0260676,0,0,0,0,0,0,7.64582,0.103545,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
92,xgboost,abalone_size_4177,20,4177,0,0.3,500,6,0,0,0,0,0,0,0,0,0,0,0,0,2.06545,0.0586132,0,0,0,0,0,0,2.18421,0.12029,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
93,xgboost,abalone_size_4177,20,4177,0,0.3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,5.08584,0.0295832,0,0,0,0,0,0,5.08463,0.116817,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
98,xgboost,abalone_size_4177,20,4177,0,0.2,500,6,0,0,0,0,0,0,0,0,0,0,0,0,2.06287,0.0751795,0,0,0,0,0,0,2.18749,0.112012,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
100,xgboost,abalone_size_4177,20,4177,0,0.1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,5.89349,0.0282874,0,0,0,0,0,0,5.89253,0.111986,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
103,xgboost,abalone_size_4177,20,4177,0,0.1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
106,xgboost,abalone_size_4177,20,4177,0,0.3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,7.64644,0.0260676,0,0,0,0,0,0,7.64582,0.103545,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
108,xgboost,abalone_size_4177,20,4177,0,0.3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7.64644,0.0260676,0,0,0,0,0,0,7.64582,0.103545,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
109,xgboost,abalone_size_4177,20,4177,0,0.1,25,6,0,0,0,0,0,0,0,0,0,0,0,0,5.89349,0.0282874,0,0,0,0,0,0,5.89253,0.111986,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
110,xgboost,abalone_size_4177,20,4177,0,0.3,200,5,0,0,0,0,0,0,0,0,0,0,0,0,1.99603,0.0411561,0,0,0,0,0,0,2.16563,0.113724,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
112,xgboost,abalone_size_4177,20,4177,0,0.2,600,6,0,0,0,0,0,0,0,0,0,0,0,0,1.96558,0.0713952,0,0,0,0,0,0,2.16615,0.112518,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
113,xgboost,abalone_size_4177,20,4177,0,0.2,400,6,0,0,0,0,0,0,0,0,0,0,0,0,2.06744,0.0820339,0,0,0,0,0,0,2.18721,0.109825,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
114,xgboost,abalone_size_4177,20,4177,0,0.3,600,2,0,0,0,0,0,0,0,0,0,0,0,0,2.13457,0.0436461,0,0,0,0,0,0,2.21222,0.111457,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
115,xgboost,abalone_size_4177,20,4177,0,0.1,400,3,0,0,0,0,0,0,0,0,0,0,0,0,2.1222,0.0513357,0,0,0,0,0,0,2.20156,0.108467,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
116,xgboost,abalone_size_4177,20,4177,0,0.1,100,3,0,0,0,0,0,0,0,0,0,0,0,0,2.3759,0.0370284,0,0,0,0,0,0,2.40206,0.1041,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
120,xgboost,abalone_size_4177,20,4177,0,0.1,400,6,0,0,0,0,0,0,0,0,0,0,0,0,2.01198,0.0439028,0,0,0,0,0,0,2.16604,0.117842,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
121,xgboost,abalone_size_4177,20,4177,0,0.2,100,2,0,0,0,0,0,0,0,0,0,0,0,0,2.1833,0.0324893,0,0,0,0,0,0,2.24057,0.119116,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
122,xgboost,abalone_size_4177,20,4177,0,0.3,600,2,0,0,0,0,0,0,0,0,0,0,0,0,2.03449,0.0199993,0,0,0,0,0,0,2.16769,0.1224,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
123,xgboost,abalone_size_4177,20,4177,0,0.3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7.64644,0.0260676,0,0,0,0,0,0,7.64582,0.103545,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
125,xgboost,abalone_size_4177,20,4177,0,0.2,25,6,0,0,0,0,0,0,0,0,0,0,0,0,3.03006,0.0305412,0,0,0,0,0,0,3.02789,0.128964,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
126,xgboost,abalone_size_4177,20,4177,0,0.1,400,2,0,0,0,0,0,0,0,0,0,0,0,0,2.05718,0.0251054,0,0,0,0,0,0,2.17173,0.123683,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
127,xgboost,abalone_size_4177,20,4177,0,0.3,300,5,0,0,0,0,0,0,0,0,0,0,0,0,1.99159,0.0514913,0,0,0,0,0,0,2.16934,0.119441,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
131,xgboost,abalone_size_4177,20,4177,0,0.3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,5.08584,0.0295832,0,0,0,0,0,0,5.08463,0.116817,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
132,xgboost,abalone_size_4177,20,4177,0,0.3,300,6,0,0,0,0,0,0,0,0,0,0,0,0,2.06074,0.0674968,0,0,0,0,0,0,2.18776,0.112084,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
133,xgboost,abalone_size_4177,20,4177,0,0.3,150,3,0,0,0,0,0,0,0,0,0,0,0,0,2.01131,0.0322868,0,0,0,0,0,0,2.16562,0.124778,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
134,xgboost,abalone_size_4177,20,4177,0,0.2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,6.75283,0.0271003,0,0,0,0,0,0,6.75206,0.107492,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
136,xgboost,abalone_size_4177,20,4177,0,0.3,400,3,0,0,0,0,0,0,0,0,0,0,0,0,2.10574,0.0453405,0,0,0,0,0,0,2.19944,0.120663,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
138,xgboost,abalone_size_4177,20,4177,0,0.2,25,5,0,0,0,0,0,0,0,0,0,0,0,0,3.03067,0.0280887,0,0,0,0,0,0,3.02793,0.133564,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
141,xgboost,abalone_size_4177,20,4177,0,0.1,500,6,0,0,0,0,0,0,0,0,0,0,0,0,1.99389,0.0491533,0,0,0,0,0,0,2.16455,0.116128,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
142,xgboost,abalone_size_4177,20,4177,0,0.1,50,6,0,0,0,0,0,0,0,0,0,0,0,0,3.04333,0.0240425,0,0,0,0,0,0,3.03988,0.135823,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
143,xgboost,abalone_size_4177,20,4177,0,0.2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
144,xgboost,abalone_size_4177,20,4177,0,0.2,400,2,0,0,0,0,0,0,0,0,0,0,0,0,2.14605,0.0345151,0,0,0,0,0,0,2.21459,0.122645,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
146,xgboost,abalone_size_4177,20,4177,0,0.3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,5.08584,0.0295832,0,0,0,0,0,0,5.08463,0.116817,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
151,xgboost,abalone_size_4177,20,4177,0,0.3,600,3,0,0,0,0,0,0,0,0,0,0,0,0,1.96544,0.0619206,0,0,0,0,0,0,2.17115,0.117413,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
153,xgboost,abalone_size_4177,20,4177,0,0.1,500,3,0,0,0,0,0,0,0,0,0,0,0,0,2.12264,0.0491367,0,0,0,0,0,0,2.19965,0.107965,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
154,xgboost,abalone_size_4177,20,4177,0,0.3,50,6,0,0,0,0,0,0,0,0,0,0,0,0,2.1082,0.0355949,0,0,0,0,0,0,2.20339,0.114597,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
156,xgboost,abalone_size_4177,20,4177,0,0.2,100,2,0,0,0,0,0,0,0,0,0,0,0,0,2.16428,0.0349782,0,0,0,0,0,0,2.22467,0.119731,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
157,xgboost,abalone_size_4177,20,4177,0,0.3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,2.12639,0.0469986,0,0,0,0,0,0,2.21009,0.114065,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
159,xgboost,abalone_size_4177,20,4177,0,0.2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,6.75283,0.0271003,0,0,0,0,0,0,6.75206,0.107492,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
161,xgboost,abalone_size_4177,20,4177,0,0.3,600,3,0,0,0,0,0,0,0,0,0,0,0,0,2.09946,0.0475669,0,0,0,0,0,0,2.19378,0.12135,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
